Product Name,Product URL,Product Price,Product Rating,Product Rating Count
"ZaySoo Ultimate Unisex Travel Hiking Laptop Bag Up to 19-inch, Rainproof with Rain Cover Yellow Zip Internal Organizer Your All-in-One Anti Theft Pocket Backpack Rucksack College Companion",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTc0MDU3NjQ4ODg3NjU0OjE2OTc1NjQ1NzY6c3BfYnRmOjMwMDA0ODc2MjMyMzEzMjo6MDo6&url=%2FZaySoo-Rainproof-Yellow-Zip-Organizer%2Fdp%2FB0CD8V97DS%2Fref%3Dsr_1_129_sspa%3Fkeywords%3DBags%26qid%3D1697564576%26sr%3D8-129-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,990",4.3 out of 5 stars,17
"WALKENT Stylish 15.6"" Laptop Bag, Anti-Theft Combination Lock, Waterproof Backpack For Office, College, Men, Women - Ryden, 25 Ltr, 2 Compartments, 6 Pockets",https://aax-eu.amazon.in/x/c/RO-LUeyOJeHD7BHITH78p1YAAAGLPrvNCQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCP4VTF/https://www.amazon.in/WALKENT-Anti-Theft-Combination-Waterproof-Backpack/dp/B0CGJ92R78/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3%3Aamzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&cv_ct_cx=Bags&keywords=Bags&pd_rd_i=B0CGJ92R78&pd_rd_r=b5d1a532-c46d-4d1f-b5a2-79eae7b94421&pd_rd_w=2pECL&pd_rd_wg=FCFzW&pf_rd_p=b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&pf_rd_r=XXDZ9HPKDCT39E6D8R4D&qid=1697564576&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-113-ad43fbe4-6f9c-4603-ab45-acb189caa93f,399,4.3 out of 5 stars,"1,781"
Xenia Polyester Light Weight Unisex Laptop Backpack Bag 28 L Laptop Backpack,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzQyMzcwMzYzNzI1NjU0OjE2OTc1NjQ1ODM6c3BfYXRmX25leHQ6MzAwMDMxNjEwMTA4OTMyOjowOjo&url=%2FPolyester-Weight-Unisex-Laptop-Backpack%2Fdp%2FB0CF8B959Q%2Fref%3Dsr_1_129_sspa%3Fkeywords%3DBags%26qid%3D1697564583%26sr%3D8-129-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA1QWA1M9YNPAO9,"1,699",3.9 out of 5 stars,"2,767"
"Dolfin WaterProof Unisex Laptop Backpack 32L with USB Charging Port C, 15.6 inch Compartment, Water-Resistant and Scratch Resistant, Premium Material Laptop Office Bag for Men and Women",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzQyMzcwMzYzNzI1NjU0OjE2OTc1NjQ1ODM6c3BfYXRmX25leHQ6MzAwMDA5ODQ4MDcxNzMyOjowOjo&url=%2FDolfin-Backpack-Charging-Resistant-Compartment%2Fdp%2FB0C5RNGRBP%2Fref%3Dsr_1_130_sspa%3Fkeywords%3DBags%26qid%3D1697564583%26sr%3D8-130-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,156,4.8 out of 5 stars,81
Nivia String Bag Polyester Made for Men Waterproof/Drawstring Backpack (Black),https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM/ref=sr_1_131?keywords=Bags&qid=1697564583&sr=8-131,749,4.1 out of 5 stars,"2,557"
Puma 24 ltrs (15 Cms) Backpack(074714 02_Pink),https://www.amazon.in/Puma-Limoges-Laptop-Backpack-7471402/dp/B072QF243M/ref=sr_1_132?keywords=Bags&qid=1697564583&sr=8-132,459,4.2 out of 5 stars,"3,762"
Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BYW5SH4L/ref=sr_1_133?keywords=Bags&qid=1697564583&sr=8-133,999,4.2 out of 5 stars,"8,210"
"FATMUG Foldable Duffel Luggage Bag for Travel, Packing and Storage - Men and Women - 45 L, Black",https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFPF4QT/ref=sr_1_129?keywords=Bags&qid=1697564583&sr=8-129,419,3.8 out of 5 stars,"2,269"
"OPTIMA Slim Laptop Backpack,Vintage Tear Resistant Business Bag for Travel,College,School,Casual Daypacks for Man,Women,Fits up to 15.6Inch MacBook,Lightweight",https://www.amazon.in/OPTIMA-Backpack-Resistant-Business-Lightweight/dp/B0C4GRTJSC/ref=sr_1_130?keywords=Bags&qid=1697564583&sr=8-130,"2,899",4.2 out of 5 stars,608
"HOEXL 42L Expandable Premium Laptop Backpack for Men/Women for Travel, School, College-Tech Bag with USB - Bagpacker Bag, 17 inch Laptop Bag with Water-resistant, Smart Bag with Multiple Compartments",https://www.amazon.in/HOEXL-Expandable-Premium-Backpack-College-Tech/dp/B0C3J2RLHP/ref=sr_1_131?keywords=Bags&qid=1697564583&sr=8-131,257,3.4 out of 5 stars,140
