Product Name,Product URL,Product Price,Product Rating,Product Rating Count,ASIN,Manufacturer,Description
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (ALL) (Navy Blue & Sky Blue),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Nzk0MjQ3NjAyOTQwNjU1OjE2OTc2NDExNjQ6c3BfYXRmX25leHQ6MzAwMDYxOTc3OTU3OTMyOjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_273_sspa%3Fkeywords%3DBags%26qid%3D1697641164%26sr%3D8-273-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"1,199",3.8 out of 5 stars,108,Not found,Not found,Not found
HEROZ Hacker 50 litres Large Size Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Nzk0MjQ3NjAyOTQwNjU1OjE2OTc2NDExNjQ6c3BfYXRmX25leHQ6MjAwMzI1NjUwNDY4OTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Computer-17-3-inch%2Fdp%2FB083N3DCTM%2Fref%3Dsr_1_274_sspa%3Fkeywords%3DBags%26qid%3D1697641164%26sr%3D8-274-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"1,599",4.4 out of 5 stars,384,Not found,Not found,Not found
Fast Travel Use For School Bag Class 6-10 Large 4 partition 55 L Laptop Collage Office Travel Backpack Unisex,https://www.amazon.in/Fast-Travel-partition-Collage-Backpack/dp/B0BM7C4HG3/ref=sr_1_275?keywords=Bags&qid=1697641164&sr=8-275,643,4.2 out of 5 stars,"1,168",B0BM7C4HG3,Fast Travel,"Fabric : Polyester, Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 17 Inch X 10 Inch X 13 Inch"
Impulse Diggy Niva 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,https://www.amazon.in/Impulse-Diggy-Backpack-Business-Resistant/dp/B0CJHST8BY/ref=sr_1_276?keywords=Bags&qid=1697641164&sr=8-276,399,3.8 out of 5 stars,"1,232",Diggy niva black,B0CJHST8BY,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"
"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006",https://www.amazon.in/TRAWOC-60LTravel-Backpack-Trekking-Rucksack/dp/B07YYG5G31/ref=sr_1_277?keywords=Bags&qid=1697641164&sr=8-277,"1,567",3.9 out of 5 stars,322,B07YYG5G31,TRAWOC,Not found
"Half Moon Large 35 L Laptop College School & Travel Bag Backpack for Men Women Boys and Girls Spacy Luggage Bags with 17.3 inches Laptop Compartment, Reflective Strip & Rain Cover",https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BLLJPBYM/ref=sr_1_273?keywords=Bags&qid=1697641164&sr=8-273,689,3.7 out of 5 stars,7,B0BLLJPBYM,Half_Moon,Not found
Rainox Combo Pack of PU-Leather Gym Bag Gym Duffel Bag with Shoulder Strap for Men's & Women's with Wrist Support Band-Wrist Straps for Daily Exercise (Grey) 6 cms,https://www.amazon.in/Rainox-PU-Leather-Shoulder-Band-Wrist-Exercise/dp/B0C6ZY6RD3/ref=sr_1_274?keywords=Bags&qid=1697641164&sr=8-274,325,4.5 out of 5 stars,582,India,B0C6ZY6RD3,★ Package Content
Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),https://www.amazon.in/Handcuffs-Multifunctional-Maternity-Backpack-Nursing/dp/B09413KB4K/ref=sr_1_275?keywords=Bags&qid=1697641164&sr=8-275,"1,186",3.9 out of 5 stars,266,B09413KB4K,Handcuffs,Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,https://www.amazon.in/Red-Lemon-Ironlook-Briefcase-Anti-Theft/dp/B09ZYMT7V1/ref=sr_1_276?keywords=Bags&qid=1697641164&sr=8-276,"4,897",4.6 out of 5 stars,8,B09ZYMT7V1,Encon Impex Pvt Ltd,Not found
"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://www.amazon.in/POLESTAR-Backpack-compartment-polyester-warranty/dp/B09RWTQ1VW/ref=sr_1_277?keywords=Bags&qid=1697641164&sr=8-277,579,3.8 out of 5 stars,"1,162",Scale Polestar Pvt. Ltd.,6 February 2022,Not found
